num,No-PS,eager
639,3205.13,1838.934623
640,3210.4195,1840.576623
641,3216.1595,1842.250123
642,3220.9575,1843.773123
643,3225.177,1845.477123
644,3229.407,1847.026623
645,3233.78,1855.324559
646,3239.335,1856.978559
647,3243.377,1858.627559
648,3248.7015,1860.378059
649,3252.9215,1862.058059
650,3257.1375,1863.724059
651,3262.6785,1865.377559
652,3267.9855,1867.030059
653,3273.3345,1868.775559
654,3278.4125,1870.507059
655,3283.562,1872.048059
656,3288.4635,1873.582559
657,3293.852,1875.167059
658,3299.6435,1876.815059
659,3304.235,1885.813947
660,3308.2385,1887.437447
661,3313.5875,1888.968447
662,3317.571,1890.599447
663,3322.8455,1892.243947
664,3328.039,1893.778947
665,3333.371,1895.525447
666,3338.7655,1897.101447
667,3343.8195,1898.831947
668,3348.6795,1900.378447
669,3354.4945,1902.047447
670,3360.063,1903.708947
671,3365.1305,1905.354447
672,3370.4575,1906.875447
673,3375.9875,1908.533447
674,3379.982,1910.249447
675,3384.701,1911.903447
676,3388.7815,1913.538947
677,3393.412,1918.238447
678,3398.2465,1920.048447
679,3402.83,1928.827548
680,3408.096,1930.489548
681,3412.559,1932.183548
682,3417.094,1933.813548
683,3422.4695,1935.394548
684,3426.481,1937.179048
685,3431.8,1938.851548
686,3436.8315,1940.525048
687,3441.7415,1950.04931
688,3446.4845,1954.82731
689,3450.9585,1956.47731
690,3455.783,1957.99981
691,3461.0725,1959.69031
692,3466.6985,1961.47381
693,3471.547,1963.13431
694,3476.613,1964.88431
695,3480.9805,1966.44081
696,3486.036,1968.25081
697,3490.5625,1969.89431
698,3495.5655,1971.55831
699,3501.064,1973.42581
700,3506.6125,1975.08431
701,3511.6165,1976.75831
702,3517.467,1978.62431
703,3522.4905,1980.35281
704,3527.5455,1981.98581
705,3532.8355,1983.84031
706,3537.837,1985.51731
707,3542.301,1987.05881
708,3548.0075,1988.71981
709,3552.2395,1990.41381
710,3556.485,1991.97431
711,3562.323,1993.91881
712,3567.6245,1995.45631
713,3572.7235,1996.96531
714,3578.55,1998.71081
715,3584.144,2000.37781
716,3589.457,2001.90781
717,3594.491,2003.73731
718,3598.984,2005.39231
719,3603.5725,2006.94331
720,3608.4355,2008.49181
721,3614.303,2010.19781
722,3618.903,2019.07162
723,3623.814,2020.59912
724,3628.822,2022.28362
725,3634.431,2023.94662
726,3638.933,2025.56662
727,3644.755,2027.31162
728,3650.591,2028.99862
729,3655.7405,2030.68862
730,3661.066,2032.22612
731,3666.822,2033.85462
732,3672.647,2035.52962
733,3678.031,2037.10212
734,3682.5595,2038.83412
735,3687.8555,2040.49212
736,3693.1955,2042.06612
737,3698.4155,2043.73662
738,3703.7215,2045.48762
739,3709.0215,2047.27662
740,3714.8755,2048.93562
741,3719.3355,2050.56662
742,3724.6545,2052.32662
743,3729.8165,2054.07612
744,3735.4895,2055.76712
745,3741.12,2057.55212
746,3746.8715,2059.24462
747,3751.363,2060.88762
748,3756.181,2062.53012
749,3760.154,2064.18612
750,3764.689,2065.82712
751,3770.095,2067.59412
752,3774.6835,2069.04212
753,3778.6875,2070.66062
754,3784.3125,2072.32212
755,3789.677,2073.96712
756,3795.4235,2075.64312
757,3800.062,2077.10862
758,3804.868,2078.63162
759,3809.8795,2080.25612
760,3815.1845,2081.78762
761,3820.494,2083.31362
762,3825.4925,2084.99012
763,3831.369,2086.67462
764,3836.236,2088.32612
765,3841.3275,2089.85712
766,3846.933,2091.64312
767,3852.776,2093.38062
768,3858.5225,2095.06962
769,3862.543,2096.70462
770,3867.8465,2098.29062
771,3873.726,2099.96562
772,3878.8185,2101.59512
773,3884.1635,2103.11712
774,3889.3205,2104.64512
775,3895.1615,2106.33112
776,3899.7035,2107.86262
777,3905.4425,2109.46512
778,3910.774,2111.19662
779,3915.695,2112.71862
780,3920.181,2114.37762
781,3924.7695,2115.93712
782,3928.9935,2117.60762
783,3933.4965,2119.19912
784,3939.3665,2120.88612
785,3944.103,2122.57862
786,3949.4185,2124.10562
787,3953.897,2125.75812
788,3958.944,2127.34362
789,3963.569,2129.14262
790,3969.3885,2130.81112
791,3974.4755,2132.55262
792,3979.3595,2134.07562
793,3984.8985,2135.73812
794,3988.8665,2137.38262
795,3994.505,2139.03062
796,3999.0255,2140.66562
797,4004.2325,2142.34362
798,4009.598,2143.93162
799,4014.1455,2145.64162
800,4019.0035,2147.18512
801,4023.6125,2148.69712
802,4027.9835,2150.16012
803,4033.6125,2151.83012
804,4038.226,2160.731138
805,4042.828,2162.333638
806,4048.138,2164.018638
807,4053.4465,2165.792638
808,4058.769,2167.542638
809,4064.598,2169.224138
810,4069.8795,2171.070138
811,4074.6205,2172.533138
812,4080.209,2174.283638
813,4084.971,2175.974138
814,4090.314,2177.542138
815,4094.601,2179.089638
816,4100.438,2180.774138
817,4104.9615,2182.398138
818,4110.8475,2184.069638
819,4116.2115,2185.862138
820,4120.7565,2187.477138
821,4126.585,2189.364638
822,4130.602,2190.994138
823,4135.6955,2192.643638
824,4140.5395,2194.169638
825,4145.8605,2195.707138
826,4150.3795,2197.420638
827,4154.5995,2199.134138
828,4160.2065,2200.902638
829,4165.207,2202.583138
830,4169.563,2204.102638
831,4174.0745,2205.727138
832,4179.119,2207.460138
833,4184.776,2209.120638
834,4189.8205,2210.660138
835,4195.627,2212.336638
836,4201.218,2214.000138
837,4206.2985,2215.744638
838,4210.92,2217.268638
839,4216.048,2218.806138
840,4220.845,2220.335638
841,4225.4265,2222.021638
842,4230.051,2230.922283
843,4235.601,2232.613283
844,4240.485,2234.403783
845,4245.3985,2236.044783
846,4250.455,2237.794283
847,4254.4815,2239.437283
848,4258.982,2241.018783
849,4264.807,2242.692283
850,4268.806,2244.394783
851,4273.398,2245.958283
852,4277.9895,2247.522783
853,4282.9405,2249.279283
854,4287.674,2250.914283
855,4292.2005,2252.564783
856,4296.348,2254.115283
857,4300.582,2255.815783
858,4305.8525,2257.658283
859,4310.883,2259.411783
860,4316.049,2264.248283
861,4321.876,2265.925283
862,4327.163,2267.457783
863,4332.203,2269.103783
864,4336.655,2270.752283
865,4341.233,2272.305783
866,4345.7975,2273.869283
867,4351.055,2275.548283
868,4356.8785,2277.227283
869,4361.894,2278.908783
870,4366.079,2280.459283
871,4371.388,2281.997283
872,4376.452,2283.739283
873,4382.216,2285.339783
874,4387.529,2286.880783
875,4392.347,2288.393783
876,4398.1705,2290.290283
877,4403.4765,2291.924283
878,4408.487,2293.582283
879,4413.7825,2295.114283
880,4419.534,2296.806283
881,4424.3575,2298.394783
882,4428.8175,2300.106283
883,4433.0375,2301.656283
884,4438.8215,2303.278283
885,4443.414,2304.735783
886,4448.6675,2306.410283
887,4454.1865,2308.054783
888,4459.574,2309.710283
889,4464.596,2311.388283
890,4469.1115,2313.115283
891,4473.6245,2314.743783
892,4478.1335,2316.386783
893,4482.6545,2318.027783
894,4487.971,2322.872783
895,4493.2915,2324.416283
